ID,Avg_Temperature,Radiation,Rain_Amount,Wind_Speed,Wind_Direction
84961,24.17,20.8,0.63,11.11,99.09
84962,26.18,22.8,0.51,11.34,196.21
84963,25.44,23.05,1.58,11.36,216.6
84964,22.4,20.19,8.1,8.51,96.94
84965,25.54,20.25,3.53,19.24,92.77
84966,25.27,21.78,3.85,11.0,110.11
84967,24.64,22.1,1.85,8.4,126.38
84968,25.39,22.22,0.0,10.91,65.7
84969,25.31,22.48,0.0,10.52,87.45
84970,25.25,22.09,0.0,11.77,76.43
84971,25.28,22.17,0.0,11.57,65.94
84972,25.57,22.2,0.0,11.89,67.08
84973,25.82,22.34,1.43,12.58,77.39
84974,22.71,20.25,2.02,8.87,120.0
84975,26.07,22.0,0.0,13.35,145.75
84976,26.46,22.9,0.0,10.41,32.9
84977,26.16,23.37,0.0,9.78,28.87
84978,26.02,23.58,3.25,10.42,266.99
84979,26.25,22.81,0.0,12.9,41.58
84980,26.27,23.01,0.0,11.19,42.15
84981,26.36,22.91,0.0,11.74,48.22
84982,18.72,20.05,7.37,5.44,97.38
84983,26.56,22.92,0.0,11.28,36.24
84984,26.27,22.7,0.0,9.63,31.74
84985,25.72,22.06,0.16,10.67,58.76
84986,25.61,22.25,1.42,15.55,100.5
84987,25.64,22.46,0.98,17.91,80.79
84988,26.16,23.57,0.0,11.02,75.1
84989,25.89,20.8,4.0,17.1,69.16
84990,20.29,21.33,0.81,7.16,63.97
84991,24.54,21.27,0.27,11.47,103.52
84992,26.44,23.23,0.35,11.3,204.44
84993,25.61,23.46,1.79,11.33,223.4
84994,22.62,20.73,7.87,8.38,103.54
84995,25.77,20.83,3.1,19.07,94.17
84996,25.47,22.25,3.95,10.98,119.25
84997,24.9,22.48,2.05,8.64,132.32
84998,25.62,22.68,0.0,10.71,78.84
84999,25.56,22.94,0.0,10.3,101.09
85000,25.51,22.57,0.0,11.53,88.09
85001,25.56,22.67,0.0,11.37,78.16
85002,25.83,22.65,0.0,11.82,78.18
85003,26.03,22.74,2.16,12.71,87.09
85004,22.57,20.6,2.99,8.21,122.54
85005,26.16,23.38,2.71,12.79,122.58
85006,26.64,23.24,2.14,9.53,47.2
85007,26.32,23.75,0.0,9.42,38.04
85008,26.18,23.94,3.88,9.83,263.2
85009,26.36,23.24,0.0,12.58,45.27
85010,26.4,23.45,0.0,10.78,46.42
85011,26.49,23.37,0.0,11.08,53.69
85012,18.96,20.54,7.01,5.55,93.25
85013,26.66,23.32,0.0,11.03,39.69
85014,26.29,22.99,0.0,9.65,40.83
85015,25.73,22.5,1.31,10.63,74.59
85016,25.52,22.82,1.79,14.34,109.12
85017,25.7,23.37,0.0,13.85,83.94
85018,25.92,23.05,0.25,11.05,78.51
85019,23.96,21.35,1.49,14.28,67.17
85020,20.49,21.57,1.21,6.92,64.04
85021,24.2,21.3,1.63,9.56,115.75
85022,26.06,22.92,3.08,10.77,194.81
